store_id,item_id,revenue_proxy,rn
CA_1,FOODS_3_252,114033.5821634531,1
CA_1,HOUSEHOLD_1_535,88470.20733690262,2
CA_1,HOBBIES_1_354,74614.79850769043,3
CA_1,FOODS_3_753,43558.46021270752,4
CA_1,FOODS_3_491,39173.68015575409,5
CA_1,FOODS_2_293,34365.52983593941,6
CA_1,HOUSEHOLD_1_537,33872.690543174744,7
CA_1,FOODS_3_652,32218.100154399872,8
CA_1,HOUSEHOLD_1_096,31228.219886302948,9
CA_1,HOBBIES_1_258,30432.109110832214,10
CA_1,HOBBIES_1_297,28007.680151939392,11
CA_1,FOODS_2_183,27025.149280548096,12
CA_1,FOODS_3_727,23960.280415534973,13
CA_1,HOUSEHOLD_1_488,23867.619049072266,14
CA_1,FOODS_3_676,23843.440063476562,15
CA_1,HOBBIES_1_225,23168.039520263672,16
CA_1,HOUSEHOLD_1_347,22060.95941925049,17
CA_1,FOODS_3_233,21664.93997859955,18
CA_1,FOODS_3_634,21585.58010339737,19
CA_1,FOODS_3_393,20407.839980602264,20
CA_2,FOODS_3_586,101250.98025763035,1
CA_2,FOODS_3_120,58979.82022571564,2
CA_2,FOODS_3_288,32926.5,3
CA_2,FOODS_3_607,32249.14028787613,4
CA_2,HOUSEHOLD_2_336,31726.491103172302,5
CA_2,FOODS_3_469,28029.759771347046,6
CA_2,FOODS_1_043,27884.159801483154,7
CA_2,FOODS_3_473,27222.960193395615,8
CA_2,FOODS_3_228,26398.020166635513,9
CA_2,FOODS_3_526,24959.88024044037,10
CA_2,FOODS_3_652,23688.96011352539,11
CA_2,HOUSEHOLD_1_051,23514.24030303955,12
CA_2,HOBBIES_1_354,23324.67953491211,13
CA_2,FOODS_3_389,22231.75986981392,14
CA_2,FOODS_3_592,20197.40005350113,15
CA_2,HOUSEHOLD_1_171,20038.98059654236,16
CA_2,HOUSEHOLD_1_100,19940.949548244476,17
CA_2,HOUSEHOLD_2_140,18393.829446315765,18
CA_2,HOUSEHOLD_1_294,17497.68023085594,19
CA_2,HOUSEHOLD_1_096,16638.679921150208,20
CA_3,FOODS_3_282,104582.77984333038,1
CA_3,HOUSEHOLD_1_110,89377.52956151962,2
CA_3,FOODS_3_635,80275.17996871471,3
CA_3,FOODS_3_723,60964.95038604736,4
CA_3,FOODS_3_327,54353.90062761307,5
CA_3,FOODS_3_772,50723.52028989792,6
CA_3,HOUSEHOLD_1_014,44727.32829093933,7
CA_3,FOODS_1_187,40479.878081321716,8
CA_3,FOODS_3_534,38932.240144729614,9
CA_3,FOODS_1_043,37300.55985760689,10
CA_3,HOUSEHOLD_1_459,36195.75073838234,11
CA_3,HOUSEHOLD_1_387,35442.44039392471,12
CA_3,FOODS_3_300,32692.960171699524,13
CA_3,HOUSEHOLD_1_259,32186.950306415558,14
CA_3,FOODS_1_004,31910.79989862442,15
CA_3,FOODS_3_570,30074.440081477165,16
CA_3,FOODS_3_399,29807.19998884201,17
CA_3,HOUSEHOLD_1_521,29160.780634880066,18
CA_3,FOODS_1_023,28932.69004201889,19
CA_3,HOUSEHOLD_1_277,27185.150547266006,20
CA_4,FOODS_1_012,43164.700015068054,1
CA_4,FOODS_3_124,33254.16018199921,2
CA_4,FOODS_2_019,28617.34005832672,3
CA_4,HOBBIES_1_078,23481.0597820282,4
CA_4,FOODS_3_808,21299.699993371964,5
CA_4,HOUSEHOLD_1_165,19569.329252243042,6
CA_4,HOBBIES_1_089,16522.869849681854,7
CA_4,FOODS_3_227,13335.480239629745,8
CA_4,FOODS_3_107,12909.280101776123,9
CA_4,HOBBIES_1_374,12847.799663543701,10
CA_4,FOODS_3_265,12795.72005200386,11
CA_4,FOODS_3_678,12764.780099391937,12
CA_4,FOODS_2_078,11855.18020248413,13
CA_4,HOBBIES_1_213,11746.020300865173,14
CA_4,FOODS_3_232,11315.32002234459,15
CA_4,FOODS_3_540,11301.280059099197,16
CA_4,FOODS_2_173,11276.349662303925,17
CA_4,FOODS_3_067,10906.540042161942,18
CA_4,FOODS_2_315,10693.979965209961,19
CA_4,FOODS_3_505,10485.379935503006,20
TX_1,FOODS_3_252,85444.121581316,1
TX_1,FOODS_3_607,61017.24023461342,2
TX_1,FOODS_1_012,52339.659792900085,3
TX_1,FOODS_3_377,44400.70026898384,4
TX_1,HOUSEHOLD_1_469,40760.16017341614,5
TX_1,FOODS_3_231,36558.66019630432,6
TX_1,FOODS_1_096,31676.57972717285,7
TX_1,FOODS_3_458,30819.54001533985,8
TX_1,FOODS_3_499,29600.819972991943,9
TX_1,FOODS_3_697,29579.02006340027,10
TX_1,HOUSEHOLD_1_416,27320.689908504486,11
TX_1,FOODS_3_753,25910.46012687683,12
TX_1,FOODS_2_285,25690.479760169983,13
TX_1,FOODS_3_572,25313.45995903015,14
TX_1,HOUSEHOLD_1_290,24683.760320663452,15
TX_1,HOUSEHOLD_1_140,23051.45040988922,16
TX_1,FOODS_2_184,22773.900286197662,17
TX_1,HOUSEHOLD_1_477,21733.679822921753,18
TX_1,FOODS_3_304,20881.320113897324,19
TX_1,FOODS_2_018,17996.31000804901,20
TX_2,FOODS_1_012,91614.0895357132,1
TX_2,FOODS_2_368,60356.53924703598,2
TX_2,HOBBIES_1_323,38114.87909030914,3
TX_2,HOUSEHOLD_1_072,26957.480048179626,4
TX_2,HOBBIES_1_029,25794.799592494965,5
TX_2,FOODS_3_635,24654.359941720963,6
TX_2,FOODS_3_702,23758.06014275551,7
TX_2,FOODS_3_772,23754.600133419037,8
TX_2,HOUSEHOLD_1_310,22647.929429531097,9
TX_2,FOODS_3_541,21842.099946439266,10
TX_2,FOODS_3_477,20340.10022830963,11
TX_2,HOUSEHOLD_1_304,19736.960042238235,12
TX_2,FOODS_3_540,19179.02012181282,13
TX_2,FOODS_3_407,18744.740136623383,14
TX_2,FOODS_3_126,18109.360044956207,15
TX_2,FOODS_3_077,18092.780426979065,16
TX_2,FOODS_2_295,17171.490083694458,17
TX_2,FOODS_3_739,17104.5,18
TX_2,FOODS_3_109,16492.27999997139,19
TX_2,FOODS_3_570,16266.760031819344,20
TX_3,FOODS_3_444,96980.42028045654,1
TX_3,FOODS_3_574,73327.38023376465,2
TX_3,FOODS_3_714,61925.101195693016,3
TX_3,FOODS_2_197,38379.77047801018,4
TX_3,FOODS_2_181,34664.279759049416,5
TX_3,FOODS_3_376,27616.0,6
TX_3,HOBBIES_1_225,24468.899585723877,7
TX_3,HOUSEHOLD_1_412,22035.899353027344,8
TX_3,FOODS_3_195,21761.980319738388,9
TX_3,FOODS_2_251,21723.399712085724,10
TX_3,FOODS_3_628,19748.340094566345,11
TX_3,FOODS_3_389,17358.33971476555,12
TX_3,FOODS_3_086,17272.429991722107,13
TX_3,HOBBIES_1_415,14848.039653301239,14
TX_3,HOUSEHOLD_1_100,14366.589671134949,15
TX_3,FOODS_2_293,14357.000352859497,16
TX_3,HOBBIES_1_166,14248.359413146973,17
TX_3,FOODS_2_078,13647.640263557434,18
TX_3,HOBBIES_1_416,13552.339407920837,19
TX_3,FOODS_2_322,13375.989982843399,20
WI_1,HOBBIES_1_345,52966.62095308304,1
WI_1,HOBBIES_1_153,33245.3994884491,2
WI_1,HOUSEHOLD_1_427,31498.60020160675,3
WI_1,FOODS_3_282,30325.779963493347,4
WI_1,HOBBIES_1_078,23148.349818229675,5
WI_1,FOODS_3_672,22326.390174150467,6
WI_1,FOODS_3_730,19163.18016386032,7
WI_1,FOODS_3_263,18624.339860916138,8
WI_1,HOUSEHOLD_1_272,18448.320489883423,9
WI_1,HOUSEHOLD_1_055,17833.650018692017,10
WI_1,HOBBIES_1_373,15750.400285720825,11
WI_1,FOODS_2_052,14792.880149841309,12
WI_1,HOUSEHOLD_1_051,14693.440189361572,13
WI_1,HOBBIES_1_251,12816.449904441833,14
WI_1,FOODS_2_131,12536.500014781952,15
WI_1,HOUSEHOLD_1_100,11596.159729480743,16
WI_1,FOODS_3_501,11226.64008039236,17
WI_1,HOUSEHOLD_1_376,11175.610056400299,18
WI_1,HOUSEHOLD_1_537,11114.560172080994,19
WI_1,HOBBIES_1_160,11091.35954284668,20
WI_2,FOODS_1_096,222650.51859521866,1
WI_2,HOUSEHOLD_1_110,101025.0596215725,2
WI_2,FOODS_3_154,66510.62042570114,3
WI_2,FOODS_2_276,39576.56012964249,4
WI_2,FOODS_1_004,34075.33985590935,5
WI_2,FOODS_2_322,30424.68029308319,6
WI_2,HOBBIES_1_108,28683.099069595337,7
WI_2,FOODS_3_503,28640.72034597397,8
WI_2,FOODS_2_293,23798.799989700317,9
WI_2,HOUSEHOLD_1_370,22543.95996284485,10
WI_2,FOODS_2_093,19305.819953918457,11
WI_2,FOODS_3_672,19129.63016796112,12
WI_2,FOODS_3_526,18513.000178337097,13
WI_2,HOUSEHOLD_1_055,17981.859964609146,14
WI_2,FOODS_1_187,17762.37924003601,15
WI_2,FOODS_3_124,17594.180186271667,16
WI_2,FOODS_2_117,17576.74990081787,17
WI_2,FOODS_3_399,17373.979986667633,18
WI_2,HOUSEHOLD_1_465,17352.100363254547,19
WI_2,HOUSEHOLD_1_162,17009.719524383545,20
WI_3,FOODS_3_120,216012.48082733154,1
WI_3,FOODS_3_318,69086.93978869915,2
WI_3,FOODS_3_469,66629.15942382812,3
WI_3,FOODS_3_252,56226.18098151684,4
WI_3,FOODS_2_183,54714.449310302734,5
WI_3,HOUSEHOLD_1_366,41404.12026500702,6
WI_3,FOODS_3_376,36380.0,7
WI_3,FOODS_3_435,36029.859907746315,8
WI_3,HOUSEHOLD_1_409,33312.0003759861,9
WI_3,FOODS_2_194,27809.339936733246,10
WI_3,HOUSEHOLD_1_344,27689.569940567017,11
WI_3,FOODS_3_635,27592.43009376526,12
WI_3,FOODS_2_293,17855.33997130394,13
WI_3,HOUSEHOLD_1_191,17560.88035106659,14
WI_3,FOODS_3_697,17052.140079259872,15
WI_3,FOODS_2_019,16638.800033569336,16
WI_3,FOODS_3_562,16493.760063171387,17
WI_3,FOODS_2_256,14851.830110549927,18
WI_3,FOODS_3_369,14013.300058364868,19
WI_3,FOODS_2_212,13504.209973335266,20
